kinase,upregulated,downregulated,unregulated,upregulated_enrichment_value,upregulated_enrichment_value_log2,upregulated_p_value,upregulated_p_value_log10_abs,upregulated_adjusted_p_value,upregulated_adjusted_p_value_log10_abs,downregulated_enrichment_value,downregulated_enrichment_value_log2,downregulated_p_value,downregulated_p_value_log10_abs,downregulated_adjusted_p_value,downregulated_adjusted_p_value_log10_abs,dominant_direction,dominant_enrichment_value_log2,dominant_p_value_log10_abs,dominant_adjusted_p_value_log10_abs
AAK1,9.0,33.0,168.0,0.4503130797773655,1.150999712131238,0.996475878543124,0.001533209700481529,1.0,0.0,1.6247717937015063,-0.700237099547186,0.012495059791247739,1.90326166135051,0.11831259739837702,0.9269690111681109,downregulated set,-0.700237099547186,1.90326166135051,0.9269690111681109
ACVR2A,39.0,12.0,159.0,2.2922492194923305,1.1967639063022666,3.135781185582934e-05,4.503654249944679,0.0003800566796926516,3.4201516301144115,0.5870523104733928,-0.7684390315893704,0.9764499668375454,0.01035000499574323,1.0,0.0,upregulated set,1.1967639063022666,4.503654249944679,3.4201516301144115
ACVR2B,50.0,10.0,172.0,2.8144325407194497,1.4928440685873698,2.3453992658575882e-08,7.629783215124268,4.4415998597178076e-07,6.352460569277888,0.4472937430786268,-1.1607055173911989,0.9977645659916944,0.0009719233949627859,1.0,0.0,upregulated set,1.4928440685873698,7.629783215124268,6.352460569277888
AKT1,4.0,1.0,33.0,1.0548939878013361,0.07709802172099953,0.5397031747359127,0.2678450272447118,1.0,0.0,0.23926218708827404,-2.0633356830119136,0.9824474657716715,0.007690663278706716,1.0,0.0,upregulated set,0.07709802172099953,0.2678450272447118,0.0
AKT2,4.0,5.0,55.0,0.6278245715945396,0.6715666011315934,0.872622471529702,0.05917360737522489,1.0,0.0,0.7203412423353772,-0.47324758833578523,0.8157986706189474,0.08841700672096627,1.0,0.0,downregulated set,-0.47324758833578523,0.08841700672096627,0.0
AKT3,6.0,3.0,56.0,0.9305236564079008,0.10388526695808342,0.6287358941263749,0.20153174535040627,1.0,0.0,0.42185547688463143,-1.2451792630002931,0.9681173855503533,0.014071980701980537,1.0,0.0,upregulated set,0.10388526695808342,0.20153174535040627,0.0
ALK2,70.0,13.0,227.0,3.158608143537427,1.6592889676510463,1.6548568928361386e-12,11.78123955677576,5.5713515392150005e-11,10.254039437712782,0.43510470823246156,-1.2005654666394123,0.9995315881291321,0.00020347634986601944,1.0,0.0,upregulated set,1.6592889676510463,11.78123955677576,10.254039437712782
ALK4,26.0,11.0,146.0,1.5978439956691617,0.676126558665633,0.02690892141883625,1.5701037095656907,0.18644957981907687,0.7294385910233065,0.5872214271110202,-0.7680234832750129,0.9721158854183988,0.0122819599730941,1.0,0.0,upregulated set,0.676126558665633,1.5701037095656907,0.7294385910233065
ALPHAK3,49.0,15.0,148.0,3.2230990318676884,1.688448516845938,9.223613724638091e-10,9.035098893134311,1.8631699723768942e-08,7.729747523687687,0.7988691108026456,-0.3239689480101969,0.8256017967975379,0.08322937053953024,1.0,0.0,upregulated set,1.688448516845938,9.035098893134311,7.729747523687687
AMPKA1,10.0,13.0,153.0,0.5543846202976305,0.8510408600098333,0.9796112717116681,0.008946226391325291,1.0,0.0,0.6644291350173703,-0.5898127584571862,0.9419048428344485,0.025992970157611494,1.0,0.0,downregulated set,-0.5898127584571862,0.025992970157611494,0.0
