Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
404 proteins down-regualated at 12h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	18/401	4.423341027782195E-5	0.009156315927509144	0	0	3.1849388484265493	31.932292970495734	CDK17;NEK9;GSK3B;PLK1;BRAF;MASTL;SNRK;PBK;NEK1;ULK1;CDK12;CDK13;RAF1;CDK14;PAK2;MARK3;BUB1;MARK2
405 proteins down-regualated at 24h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	18/401	4.423341027782195E-5	0.009156315927509144	0	0	3.1849388484265493	31.932292970495734	CDK18;NEK9;GSK3B;BMPR2;PLK1;MASTL;SNRK;CDK2;PBK;NEK1;ULK1;CDK13;RAF1;CDK14;MARK3;BUB1;MARK2;PAK4
347 proteins down-regualated at 8h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	15/343	2.521391617713133E-4	0.03479520432444124	0	0	3.0756161077235773	25.48310766404735	NEK9;GSK3B;BMPR2;PLK1;MASTL;PBK;NEK1;ULK1;CDK12;CDK13;RAF1;CDK14;PAK2;BUB1;MARK2
Top 500 upregulated genes in mouse D1 cardiomyocytes with SARS-CoV-2 infection from GEO GSE162113	18/480	4.1104086804013196E-4	0.04254272984215366	0	0	2.629528366370472	20.501953869108494	PLK3;CDKL5;PLK2;DYRK1A;CLK4;CLK2;CLK1;LATS1;NUAK1;SNRK;NUAK2;LATS2;GRK5;WNK3;PIM1;PRKD2;PIM3;CDK13
COVID19-Orf9b protein host PPI from Krogan	3/11	5.190974343268821E-4	0.04298126756226584	0	0	24.61125	186.14519482231185	MARK3;MARK2;MARK1
419 proteins down-regualated at 2h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	16/415	6.350438473217669E-4	0.043818025465201915	0	0	2.69635761878564	19.85009003633707	GSK3B;GSK3A;BMPR2;PLK1;SNRK;EEF2K;PBK;AKT1;NEK1;ULK1;CDK12;CDK13;PAK2;MARK3;BUB1;MARK2
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 2 DPI from GSE156701	16/460	0.0018500667000987804	0.1094182305486993	0	0	2.417427880842515	15.211746132984434	SRPK2;PLK3;CDK19;CAMK1D;NEK6;MOK;CDC7;CLK4;TGFBR1;DSTYK;MAP3K15;CAMK4;ULK1;SGK1;RAF1;CAMK2G
Top 500 downregulated genes for SARS-CoV-2 infection in human cornea from GSE164073	16/488	0.0033170622737061315	0.14286925929826158	0	0	2.2707139904328826	12.962769881217314	PLK4;PLK2;PLK1;WNK4;CDC7;VRK1;TTK;HASPIN;CDK7;MELK;CDK2;PBK;CDK1;NEK2;SGK1;BUB1
238 proteins down-regualated  in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	10/236	0.0033239435022310256	0.14286925929826158	0	0	2.9404391555166267	16.779920079586944	NEK9;GSK3B;BMPR2;PLK1;PBK;NEK1;ULK1;CDK13;BUB1;MARK2
500 genes up-regulated by SARS-CoV-2 in human Calu3 cells at 12h from GSE148729	16/490	0.003450948292228541	0.14286925929826158	0	0	2.2608976903512255	12.81726915552581	CDK17;RIPK2;PLK2;DYRK1A;MASTL;CLK4;CLK2;CLK1;SNRK;TBK1;NUAK2;LATS2;PIM1;TLK2;PRKD2;PIM3
500 genes up-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 mock s2 polyA	15/486	0.007540842186160863	0.2838098786427815	0	0	2.126017338995046	10.39074265515576	PLK4;SMG1;BMPR2;DAPK1;MST1;DYRK1A;BRAF;HIPK3;LATS1;CDK6;WNK1;ULK1;PKN2;PAK2;ATR
Top 500 down genes for SARS-CoV-2 middle-stage infection in human male blood from GSE161731	15/498	0.009310441156670847	0.2932656066806003	0	0	2.0719030365769497	9.689500700022338	SMG1;ROCK1;LRRK2;DYRK1A;IRAK4;CLK4;HIPK3;CLK1;LATS1;SLK;CDK6;ATM;PKN2;MAPKAPK5;ATR
SARS coronavirus nucleocapsid protein (gene: N) from Virus-Host PPI P-HIPSTer 2020	3/29	0.00940080363638341	0.2932656066806003	0	0	7.565769230769231	35.309143126777926	GSK3B;CDK2;ATM
Top 500 down genes for SARS-CoV-2 infection Day 2 in ferret right caudal lung from GSE160824	14/455	0.009917194428812571	0.2932656066806003	0	0	2.1152304058878455	9.75858420887933	GSK3B;CDKL5;BMPR2;BRAF;HIPK1;CLK4;ACVR2B;HIPK3;LATS1;CDK6;AKT3;AAK1;ATM;PKN2
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in PBMCs at 2 DPI from GSE156701	14/467	0.012235512146803424	0.3377001352517745	0	0	2.0579145565510975	9.061847142820914	SRPK2;CDK19;GSK3A;NEK7;MOK;CLK4;TGFBR1;CLK1;DSTYK;MAP3K15;SNRK;CDK6;AKT2;ULK1
40 SARS-CoV-2 host factor genes from genome-wide CRISPR screen in Huh7 cells from Baggen et al.	3/37	0.018296893921520063	0.4731024772280576	0	0	5.783235294117647	23.138863004715233	DSTYK;PINK1;MAPKAPK3
SARS-CoV perturbation; Up Genes from GEN3VA; Human bronchial epithelial 2B4 cells; Accession: GSE17400 Platform: GPL570; Entry 1	8/222	0.020245189240717654	0.4731024772280576	0	0	2.468937113891969	9.628454978851277	GRK1;PLK1;PBK;CDK1;PRKD2;NEK2;PIM3;MASTL
Top 500 down genes for SARS-CoV-2 infection in Mesocricetus auratus hamster blood Day 14 from GSE162208	12/404	0.020839470495173307	0.4731024772280576	0	0	2.030822638333684	7.861124491206082	DSTYK;BMPR2;DAPK1;PRKD3;LRRK2;ULK1;CDK12;SGK1;HIPK1;CDK14;HIPK3;TTBK2
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 4 DPI from GSE156701	13/456	0.02232035886472786	0.4731024772280576	0	0	1.9483303494979372	7.408050884942186	CDK19;CDKL5;NEK6;LRRK2;MOK;CDC7;TGFBR1;CAMKK2;PAK1;MAP3K15;AKT3;ULK1;RAF1
277 proteins down-regualated at 0h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	9/271	0.02285519213662114	0.4731024772280576	0	0	2.270797632029911	8.58038361427455	NEK9;GSK3A;BMPR2;PLK1;PBK;AAK1;AKT1;CDK13;MARK2
197 proteins down-regualated at 4h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	7/196	0.030151400100342864	0.574487574624522	0	0	2.440940940940941	8.547013089729312	NEK9;GSK3B;BMPR2;PBK;AAK1;ULK1;BUB1
Top 500 upregulated genes in mouse D2 cardiomyocytes with SARS-CoV-2 infection from GEO GSE162113	13/477	0.030628757752800207	0.574487574624522	0	0	1.8581227705112962	6.477073926424057	PLK3;PLK2;DYRK1A;BRAF;CLK4;CLK1;LATS1;NUAK1;NUAK2;LATS2;PIM1;PRKD2;SGK1
Top 500 down genes for SARS-CoV-2 infection Day 21 in ferret nasal turbinates from GSE160824	11/383	0.032418212738727116	0.574487574624522	0	0	1.9569800412431875	6.710552845445551	CDK17;CDK8;SNRK;RIPK2;PLK2;LRRK2;PRKD1;CLK4;TGFBR1;CAMK1G;ATR
100 gene most correlated to LDLRAD4 based on ARCHS4 co-expression	4/80	0.03330362751446505	0.574487574624522	0	0	3.453793346241859	11.750112191129618	NUAK1;DYRK2;TGFBR1;TGFBR2
COVID19-Nsp12 protein host PPI from Krogan	2/20	0.03632137945669155	0.601482043802812	0	0	7.264304171280916	24.083701719984433	BCKDK;RIPK1
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in PBMCs at 1 DPI from GSE156701	12/454	0.044761564642216055	0.7127418369952864	0	0	1.7964267388160657	5.580429793820203	PLK4;SMG1;GSK3A;CDK6;DYRK2;AKT2;PLK2;CAMK4;ATM;MAPKAPK5;TTK;ACVR2B
Top 500 up genes for SARS-CoV-2 infection 48 hpi in human alveolar organoids for GSE152586	12/460	0.04855408692430025	0.7159264334921176	0	0	1.7718151693667157	5.3598771542556936	CDK17;CLK1;CDK18;TBK1;NUAK2;DAPK2;TLK2;PRKD2;RIPK1;PIM2;MARK2;BMPR1A
