Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
404 proteins down-regualated at 12h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	18/401	3.4060739537975145E-5	0.007050573084360855	0	0	3.254442853533227	33.4796420597309	CDK17;NEK9;GSK3B;PLK1;BRAF;MASTL;SNRK;PBK;NEK1;ULK1;CDK12;CDK13;RAF1;CDK14;PAK2;MARK3;BUB1;MARK2
405 proteins down-regualated at 24h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	18/401	3.4060739537975145E-5	0.007050573084360855	0	0	3.254442853533227	33.4796420597309	CDK18;NEK9;GSK3B;BMPR2;PLK1;MASTL;SNRK;CDK2;PBK;NEK1;ULK1;CDK13;RAF1;CDK14;MARK3;BUB1;MARK2;PAK4
347 proteins down-regualated at 8h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	15/343	2.033355178454213E-4	0.02806030146266814	0	0	3.14202776336274	26.70928819151375	NEK9;GSK3B;BMPR2;PLK1;MASTL;PBK;NEK1;ULK1;CDK12;CDK13;RAF1;CDK14;PAK2;BUB1;MARK2
Top 500 upregulated genes in mouse D1 cardiomyocytes with SARS-CoV-2 infection from GEO GSE162113	18/480	3.235656011280466E-4	0.03348903971675282	0	0	2.6869152353023322	21.592342842213345	PLK3;CDKL5;PLK2;DYRK1A;CLK4;CLK2;CLK1;LATS1;NUAK1;SNRK;NUAK2;LATS2;GRK5;WNK3;PIM1;PRKD2;PIM3;CDK13
COVID19-Orf9b protein host PPI from Krogan	3/11	4.896540402446389E-4	0.035307408527719256	0	0	25.121173469387756	191.46884775072115	MARK3;MARK2;MARK1
419 proteins down-regualated at 2h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	16/415	5.117015728654965E-4	0.035307408527719256	0	0	2.754787324182342	20.875141899603825	GSK3B;GSK3A;BMPR2;PLK1;SNRK;EEF2K;PBK;AKT1;NEK1;ULK1;CDK12;CDK13;PAK2;MARK3;BUB1;MARK2
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 2 DPI from GSE156701	16/460	0.0015091354434293694	0.08925458193996556	0	0	2.4698150107402776	16.044457584360817	SRPK2;PLK3;CDK19;CAMK1D;NEK6;MOK;CDC7;CLK4;TGFBR1;DSTYK;MAP3K15;CAMK4;ULK1;SGK1;RAF1;CAMK2G
Top 500 downregulated genes for SARS-CoV-2 infection in human cornea from GSE164073	16/488	0.002726348345545146	0.11936219598920668	0	0	2.319922793895892	13.698661942689954	PLK4;PLK2;PLK1;WNK4;CDC7;VRK1;TTK;HASPIN;CDK7;MELK;CDK2;PBK;CDK1;NEK2;SGK1;BUB1
500 genes up-regulated by SARS-CoV-2 in human Calu3 cells at 12h from GSE148729	16/490	0.0028379194142070722	0.11936219598920668	0	0	2.3098938390618198	13.546797661217099	CDK17;RIPK2;PLK2;DYRK1A;MASTL;CLK4;CLK2;CLK1;SNRK;TBK1;NUAK2;LATS2;PIM1;TLK2;PRKD2;PIM3
238 proteins down-regualated  in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	10/236	0.002883144830657166	0.11936219598920668	0	0	3.0028367919583117	17.56321291414888	NEK9;GSK3B;BMPR2;PLK1;PBK;NEK1;ULK1;CDK13;BUB1;MARK2
